# {"t_start": 1601364204.6888535, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
528.0,1431,81.014451
708.0,2058,195.334197
132.0,916,247.775188
660.0,1766,346.397939
572.0,1721,450.301511
572.0,1653,543.835747
660.0,1740,637.192741
660.0,1581,728.472371
396.0,936,777.793956
660.0,1403,854.786086
756.0,1780,957.238463
660.0,1645,1043.854589
708.0,1726,1144.853747
484.0,1217,1208.530646
440.0,1350,1295.010336
352.0,1400,1372.659366
572.0,1742,1473.604996
484.0,1165,1536.53527
352.0,1109,1599.996284
616.0,1464,1679.632924
484.0,1572,1765.980556
616.0,1750,1866.514273
660.0,1722,1959.757222
616.0,1780,2060.744429
660.0,1997,2171.898279
528.0,1386,2246.188135
756.0,2081,2364.330159
804.0,1638,2450.201705
1092.0,2154,2570.379657
528.0,1376,2648.636458
308.0,1113,2706.471658
660.0,2102,2826.862742
308.0,903,2876.965879
484.0,1208,2940.522077
572.0,1182,3003.467251
660.0,1630,3098.987107
660.0,1634,3192.814315
308.0,925,3242.202133
660.0,1416,3321.491781
352.0,999,3378.364879
616.0,1438,3460.346102
264.0,954,3510.383408
484.0,1406,3587.505201
660.0,1931,3694.742328
528.0,1202,3757.162044
484.0,1162,3821.80535
804.0,1935,3934.96899
900.0,2083,4051.692236
708.0,1837,4160.503035
572.0,1507,4247.326942
572.0,1121,4306.154808
440.0,1055,4368.319919
572.0,1145,4425.747792
484.0,1251,4497.319679
528.0,1457,4581.358277
484.0,1239,4649.089089
440.0,1518,4735.392716
440.0,1260,4806.732335
352.0,880,4857.962418
528.0,1465,4938.433499
396.0,893,4989.7388
308.0,1211,5053.724877
756.0,1792,5154.274851
308.0,1076,5212.138438
708.0,2306,5341.588328
572.0,1370,5417.830561
440.0,1425,5495.964735
756.0,2646,5644.39835
396.0,1118,5703.142958
308.0,1514,5786.483847
264.0,1080,5849.964112
308.0,956,5901.803412
572.0,1311,5973.991184
852.0,2171,6096.635099
440.0,1292,6167.44202
616.0,1668,6259.182581
660.0,1700,6351.943209
616.0,1794,6450.895102
660.0,2101,6576.676872
440.0,1262,6642.085883
660.0,1303,6714.262625
528.0,1223,6784.149494
572.0,1325,6854.810044
660.0,1650,6947.252879
308.0,921,6996.576329
660.0,1577,7084.708907
660.0,1582,7175.723134
804.0,1663,7268.149599
440.0,1169,7331.921008
660.0,1644,7423.039083
572.0,1112,7481.818098
900.0,1791,7581.699604
616.0,1444,7660.343204
948.0,1747,7758.76434
528.0,1767,7860.343425
996.0,1829,7958.46151
572.0,1580,8043.524758
572.0,1492,8129.285188
440.0,1318,8200.682588
660.0,1913,8306.513684
528.0,1142,8371.503644
708.0,1921,8483.817807
484.0,1445,8564.418439
1188.0,2641,8704.278847
484.0,1731,8804.044516
616.0,1371,8881.340701
660.0,1713,8974.91046
616.0,2016,9087.408634
660.0,1662,9181.933318
852.0,2027,9287.572373
756.0,1537,9372.475985
616.0,1893,9480.168133
528.0,1594,9565.775752
1044.0,2600,9714.208135
756.0,1938,9826.501282
660.0,1396,9897.891586
660.0,2029,10010.530054
572.0,1641,10107.09984
804.0,1864,10211.28996
308.0,959,10260.879148
528.0,1212,10324.201123
572.0,1508,10408.649823
660.0,1523,10492.711598
660.0,1592,10579.135112
308.0,927,10633.656522
440.0,1385,10710.382504
484.0,1278,10781.132134
396.0,1248,10851.216673
484.0,1199,10916.704162
1380.0,2471,11049.79969
1044.0,1937,11158.764086
1044.0,2060,11286.086877
996.0,2578,11433.572137
396.0,1334,11502.504692
528.0,1654,11592.455736
804.0,2092,11701.817168
572.0,1353,11776.883359
484.0,1297,11848.284535
1380.0,2499,11982.255913
660.0,1640,12073.580453
1188.0,2198,12190.175697
572.0,1282,12258.65851
1044.0,2242,12377.075367
756.0,1407,12454.2242
756.0,1872,12558.645775
996.0,1811,12655.045568
804.0,1355,12725.579873
660.0,1158,12786.474481
660.0,1930,12895.983282
660.0,1634,12988.760071
484.0,1457,13070.838141
616.0,1387,13142.986172
900.0,1525,13225.87716
948.0,1960,13328.750587
572.0,1282,13397.094626
1140.0,1783,13493.401745
572.0,1447,13569.125555
660.0,1246,13636.732593
352.0,885,13684.92758
660.0,1784,13781.73629
484.0,1358,13850.618652
616.0,1572,13936.848914
572.0,1521,14014.605112
1284.0,1970,14124.902931
660.0,1048,14180.480502
660.0,1172,14243.58723
1140.0,2331,14368.272813
756.0,1622,14455.713823
660.0,1172,14517.074768
484.0,1089,14571.379372
660.0,1602,14659.150833
996.0,1826,14753.249162
572.0,1586,14835.439228
900.0,1600,14927.088137
484.0,1257,14990.030704
616.0,1256,15059.484564
1140.0,1974,15168.549031
1092.0,1993,15273.488569
528.0,1247,15342.565749
852.0,1778,15437.652992
3000.0,3634,15632.697816
900.0,1892,15736.918695
756.0,1763,15825.005715
1380.0,2089,15936.293377
660.0,1998,16038.654062
1380.0,2513,16170.448398
352.0,1030,16225.656209
440.0,1010,16279.419784
1044.0,1790,16366.783056
1140.0,2203,16488.871789
660.0,1459,16563.206601
660.0,1281,16630.588335
996.0,1334,16699.108112
660.0,1596,16786.371265
396.0,1113,16841.910574
708.0,1304,16911.309295
528.0,1090,16972.380747
804.0,1754,17059.764662
708.0,1343,17134.309492
1044.0,1685,17222.28165
572.0,1489,17302.445079
1092.0,1959,17411.828024
1284.0,1590,17492.522796
1236.0,2110,17606.130019
660.0,1312,17673.34902
1332.0,1666,17760.103346
440.0,1019,17812.662205
852.0,1630,17896.161324
1484.0,2597,18045.065739
660.0,1620,18126.583199
900.0,1633,18212.833885
1140.0,1864,18310.004586
708.0,1871,18411.482895
484.0,1030,18466.038174
852.0,1300,18534.296672
948.0,1458,18608.633935
1380.0,2127,18724.223693
948.0,1958,18825.742523
804.0,1873,18926.430861
1188.0,2152,19035.417332
1188.0,1669,19124.176708
948.0,1738,19219.893459
660.0,1522,19301.675869
660.0,1376,19374.238527
396.0,937,19433.873143
1380.0,2195,19550.553316
1044.0,2085,19661.329654
948.0,1656,19752.453462
804.0,2462,19883.336802
1332.0,2138,19998.766514
1536.0,2821,20150.162904
1332.0,2049,20259.364347
1092.0,1885,20366.974032
660.0,1200,20435.198282
948.0,1815,20528.046051
660.0,1536,20608.788704
1332.0,2072,20716.867013
660.0,1262,20782.981976
1236.0,1638,20863.95304
948.0,1225,20929.969618
2160.0,2683,21078.769966
1188.0,1552,21160.007976
948.0,1527,21240.094191
1380.0,1890,21334.914958
948.0,1648,21420.382096
900.0,1886,21535.052082
1044.0,1832,21635.012328
756.0,1315,21700.779823
660.0,1120,21760.242543
660.0,1212,21822.597949
660.0,1211,21895.287676
660.0,1244,21954.849731
708.0,1437,22033.077218
948.0,1548,22113.978062
1484.0,2049,22220.497478
852.0,1414,22294.282927
900.0,1471,22367.476276
1380.0,2009,22475.048202
1284.0,1634,22569.330489
756.0,1124,22637.897609
1236.0,1737,22730.690836
1092.0,1646,22810.471354
1140.0,1867,22910.913128
660.0,1633,22997.982526
1092.0,1863,23092.747974
660.0,1568,23184.989552
1380.0,2282,23331.217329
948.0,1433,23418.15057
852.0,1859,23538.545294
1188.0,1968,23662.423609
1380.0,2098,23793.138294
660.0,1024,23861.353549
996.0,1678,23967.059017
1380.0,2099,24107.398089
948.0,1702,24213.841718
1380.0,2030,24348.94329
1044.0,1750,24456.141301
852.0,1678,24563.47329
708.0,1415,24653.989362
616.0,1293,24738.230256
1284.0,2076,24872.143067
948.0,1424,24954.575521
660.0,1116,25021.034363
660.0,1494,25116.960242
1380.0,1675,25217.848147
1188.0,1637,25318.813817
2328.0,3732,25537.905453
1284.0,1709,25631.761651
2328.0,2923,25804.88258
1092.0,1596,25893.312978
1952.0,2529,26039.753708
1332.0,1709,26136.871218
1380.0,1916,26247.476369
1380.0,1882,26356.084218
616.0,1132,26415.914574
1432.0,2217,26547.167503
2160.0,2884,26711.846012
1380.0,1853,26824.537917
1044.0,1614,26912.259859
900.0,1304,26985.835844
852.0,1859,27095.497105
1848.0,2724,27248.733785
852.0,1433,27330.067551
900.0,1917,27439.766251
1380.0,1965,27550.235078
900.0,1438,27631.623202
1380.0,2283,27766.529885
1332.0,1815,27869.995842
1380.0,2397,28009.446321
660.0,1307,28083.078245
660.0,1416,28163.890846
852.0,1369,28244.80334
1432.0,2145,28363.879631
1332.0,1822,28474.266849
1044.0,1636,28563.328798
948.0,1625,28660.177104
2056.0,2487,28805.521193
1380.0,2009,28927.73509
1140.0,1828,29034.561802
900.0,1847,29147.205026
660.0,1116,29209.425421
1092.0,1833,29321.960646
1380.0,1755,29430.155748
1380.0,2096,29553.530443
1188.0,1699,29661.135142
660.0,1341,29736.591419
1332.0,1583,29829.093715
1900.0,2486,29977.202836
1236.0,1607,30066.495776
572.0,1082,30134.001621
1236.0,1775,30232.837519
1432.0,1839,30342.940987
1380.0,2303,30476.162977
1044.0,1814,30579.701385
948.0,1494,30664.755454
996.0,1692,30763.578736
1380.0,1797,30865.585719
804.0,1164,30931.898941
2004.0,2505,31079.927223
1332.0,1846,31184.789659
996.0,1744,31290.02293
852.0,1700,31385.094525
1092.0,1681,31480.579768
572.0,1446,31561.75931
1140.0,1759,31673.088496
660.0,1532,31764.104107
948.0,1401,31848.615093
1380.0,1883,31964.763924
1332.0,1782,32063.054209
2384.0,3414,32267.467399
660.0,1172,32333.801958
1332.0,2116,32459.315448
660.0,1170,32528.687465
1380.0,2519,32672.620034
1380.0,1914,32786.824415
948.0,1334,32868.861385
1380.0,1763,32966.419913
948.0,1415,33048.200669
2160.0,2573,33199.429917
1236.0,1700,33302.924636
996.0,1524,33384.877986
1536.0,2129,33513.120138
1380.0,2188,33639.357444
1380.0,1961,33752.585806
852.0,1479,33841.306101
2440.0,3295,34028.949679
1284.0,1877,34142.478476
2552.0,2772,34305.840069
1380.0,1822,34411.976469
1432.0,2041,34532.137228
1952.0,2367,34667.585792
1380.0,1767,34774.905718
2160.0,2386,34912.648352
804.0,1365,34993.783873
1284.0,1940,35107.210114
852.0,1290,35182.326333
1380.0,1705,35280.348302
1140.0,1641,35378.941633
1380.0,1716,35478.494509
528.0,985,35538.945893
2384.0,3319,35734.186666
1484.0,2143,35866.217741
1848.0,2163,35995.909288
1484.0,1880,36117.227506
1848.0,2297,36251.383759
660.0,1154,36317.676977
2720.0,3108,36498.333374
2496.0,3369,36694.517695
1332.0,1638,36794.239987
1380.0,1941,36906.005186
1380.0,1925,37019.904618
