# {"t_start": 1601364204.6875687, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
1188.0,2538,20027.368394
616.0,1197,20090.247559
1044.0,2188,20205.893088
1332.0,2332,20334.86891
1380.0,2411,20469.174297
484.0,1254,20535.1209
948.0,1852,20630.330386
660.0,1688,20717.717748
660.0,1748,20810.357593
660.0,1157,20870.274255
528.0,1235,20938.23583
1284.0,1849,21038.77665
900.0,1561,21119.298195
1236.0,1742,21213.250668
660.0,1128,21268.01852
1848.0,3130,21433.240566
660.0,1831,21543.757497
1380.0,1915,21647.847074
852.0,1632,21733.491806
852.0,1630,21815.587283
1044.0,2154,21934.819603
1692.0,2321,22053.786089
804.0,1334,22126.8925
2496.0,3515,22307.986289
900.0,2044,22414.792708
804.0,1794,22515.04306
900.0,1482,22598.477788
900.0,1216,22671.742845
1432.0,2316,22790.065249
1536.0,2676,22931.28392
1380.0,1932,23031.832954
616.0,1554,23114.793576
1952.0,2904,23287.509598
852.0,1561,23387.252176
1140.0,1616,23490.402888
1380.0,2256,23636.196575
660.0,1269,23710.995857
660.0,1070,23784.180955
1332.0,2147,23917.981666
1284.0,2197,24066.392301
1092.0,1856,24180.787933
1380.0,1675,24290.186057
1188.0,1859,24406.108798
708.0,1423,24504.951349
1380.0,2032,24629.404593
708.0,1460,24727.344561
616.0,1621,24828.425923
1900.0,2321,24968.818814
1236.0,1766,25074.85179
2160.0,2688,25243.620718
3084.0,2970,25421.686485
2056.0,2611,25573.84003
1380.0,1745,25669.166176
1332.0,2283,25805.16606
900.0,1280,25878.141815
2496.0,3335,26069.173071
804.0,1307,26145.64131
804.0,1340,26218.853522
2160.0,2574,26364.505217
1380.0,2326,26503.275469
1188.0,1630,26591.387064
1796.0,2434,26737.610576
1332.0,1787,26839.58608
1796.0,2602,26985.975122
1484.0,2262,27117.556709
996.0,1415,27197.963889
1484.0,2224,27323.006453
852.0,1190,27389.493908
804.0,1642,27484.427537
1640.0,2646,27638.175244
1380.0,1595,27727.771826
948.0,1498,27818.272437
1900.0,2190,27943.652789
1380.0,2112,28061.678904
948.0,1475,28149.040124
616.0,1244,28215.697999
1432.0,2253,28348.782955
660.0,1131,28415.205561
1380.0,1895,28525.886391
1380.0,2061,28644.350923
660.0,1697,28743.785914
2160.0,3290,28936.03435
900.0,1419,29019.499287
1640.0,2278,29155.597692
1332.0,2081,29282.902544
1796.0,2670,29445.427943
852.0,1362,29530.012609
1380.0,2170,29661.135761
3420.0,3356,29857.876523
1796.0,2039,29977.09769
1044.0,1645,30066.78144
948.0,1634,30164.340665
1188.0,1865,30276.047643
1236.0,1727,30372.346267
1796.0,2242,30499.998383
1188.0,1970,30618.975604
996.0,1677,30715.961212
1236.0,2028,30834.864503
1092.0,1457,30916.550553
1284.0,1857,31021.725194
1140.0,1638,31116.845696
660.0,1348,31198.415087
948.0,1461,31282.765817
1588.0,2430,31421.19844
660.0,1173,31487.4292
1380.0,2133,31614.509561
804.0,1227,31688.237781
2160.0,2711,31849.1072
