# {"t_start": 1601364204.7096138, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
88.0,987,52.954413
572.0,1369,130.644163
352.0,1182,195.763537
756.0,1958,309.445565
484.0,1452,393.37267
440.0,1202,464.311584
220.0,971,514.276633
396.0,1247,587.450264
440.0,1292,657.935266
308.0,1181,721.857239
572.0,1576,806.710975
572.0,1363,884.331329
572.0,1151,950.499028
484.0,1341,1022.56384
660.0,1226,1093.65548
264.0,805,1138.045186
484.0,1383,1215.398597
396.0,1207,1288.65995
396.0,1450,1366.707308
616.0,1640,1465.007274
660.0,2036,1578.069339
352.0,1079,1636.79945
572.0,1626,1730.157864
440.0,1286,1801.507774
572.0,1707,1895.361167
440.0,1242,1966.734345
572.0,1347,2039.919509
616.0,1782,2137.917094
220.0,907,2186.644395
660.0,1696,2287.047679
264.0,849,2330.393746
804.0,2137,2449.468186
660.0,1755,2541.712545
616.0,1493,2627.759029
572.0,1660,2719.967746
528.0,1280,2790.974983
352.0,870,2840.883116
440.0,1242,2905.544513
660.0,1783,3003.13272
852.0,2046,3120.558202
528.0,1160,3185.859337
572.0,1265,3256.417647
308.0,1177,3321.584682
616.0,1189,3387.873083
484.0,1362,3467.616823
352.0,1017,3523.735671
396.0,1076,3580.215525
616.0,1580,3666.76965
528.0,1235,3735.642715
528.0,1458,3814.006858
660.0,1663,3906.615714
352.0,1090,3972.991333
660.0,1703,4067.675948
852.0,1633,4161.033832
948.0,2044,4277.829961
264.0,914,4327.124793
528.0,1317,4403.631663
660.0,1974,4511.607519
440.0,1293,4582.055202
572.0,1357,4662.62614
900.0,1723,4756.70945
660.0,1822,4858.762534
948.0,1609,4953.189899
484.0,1171,5018.220126
440.0,1423,5096.701115
220.0,930,5146.804702
804.0,1810,5248.420267
572.0,1111,5311.841743
396.0,940,5362.038338
352.0,1140,5424.51482
352.0,882,5473.930236
572.0,1707,5566.920309
440.0,1144,5630.412925
616.0,1253,5702.06986
396.0,1289,5771.630464
660.0,2082,5887.171062
352.0,1211,5953.157542
660.0,1421,6031.894702
708.0,1903,6139.101331
756.0,1632,6229.993986
948.0,2388,6358.957573
264.0,831,6408.365104
660.0,2010,6518.636099
