# {"t_start": 1601364204.7015116, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
396.0,1663,88.872489
396.0,1580,180.817909
220.0,1260,248.713876
176.0,950,308.977821
572.0,1410,392.496262
616.0,1814,492.674981
484.0,1034,551.184773
660.0,1757,650.350086
660.0,1820,749.843488
396.0,1064,806.160577
756.0,1984,913.670478
660.0,1760,1015.220829
264.0,1031,1072.579773
616.0,1522,1158.944393
264.0,973,1208.877468
528.0,1173,1287.627043
440.0,1326,1358.77451
660.0,1805,1464.409294
440.0,985,1521.89101
660.0,1698,1614.203056
900.0,2119,1730.274399
440.0,1162,1794.41318
396.0,1552,1880.804918
572.0,1772,1980.985083
708.0,2584,2123.816737
528.0,1199,2186.824232
528.0,1318,2266.343027
484.0,1520,2344.851704
396.0,1278,2414.567995
948.0,1449,2498.982234
484.0,1368,2570.618359
616.0,1638,2663.326517
264.0,933,2713.25656
528.0,1361,2791.005867
440.0,1253,2862.104674
616.0,1493,2940.534676
852.0,1996,3055.315601
396.0,1125,3113.87747
484.0,1379,3193.330509
948.0,2299,3321.710675
396.0,1340,3395.490273
572.0,1327,3474.996737
660.0,1531,3558.759418
1236.0,2640,3701.754595
484.0,1301,3770.884492
220.0,853,3821.109214
616.0,1514,3906.135253
220.0,844,3950.372837
396.0,970,4008.899558
660.0,1627,4098.405813
996.0,2661,4255.385915
396.0,897,4305.655841
440.0,1159,4368.835775
528.0,1403,4446.321123
352.0,1093,4504.750982
440.0,1351,4581.80005
308.0,933,4632.737614
440.0,1296,4707.16003
572.0,1374,4785.177292
660.0,1495,4866.477315
660.0,1240,4938.640388
996.0,2123,5060.173617
572.0,1278,5131.805202
660.0,2044,5240.169984
440.0,1333,5318.766868
852.0,2375,5445.845462
484.0,1394,5524.16609
616.0,1962,5631.084407
616.0,1765,5730.624951
396.0,922,5779.415107
660.0,1595,5872.099861
756.0,1829,5973.590065
660.0,2030,6089.289894
440.0,1298,6159.854021
660.0,2000,6266.634938
396.0,979,6323.358207
352.0,967,6373.210479
900.0,1647,6466.491094
616.0,1000,6525.51448
660.0,2102,6641.910951
528.0,1221,6713.32802
572.0,1726,6805.23678
660.0,2025,6918.385672
708.0,1523,7002.977313
528.0,1221,7068.563959
660.0,2283,7197.546351
756.0,1913,7303.772225
660.0,2095,7416.695892
572.0,1144,7481.581846
900.0,2067,7596.187706
708.0,2247,7722.64614
484.0,1103,7780.934372
660.0,1159,7846.767022
804.0,1515,7930.922684
948.0,1826,8029.414507
660.0,1928,8137.27427
660.0,1609,8228.518343
1236.0,2460,8364.24679
660.0,1935,8476.812127
484.0,1160,8542.77155
900.0,1559,8627.217496
616.0,1478,8704.234272
948.0,2385,8839.365865
660.0,1967,8946.608096
484.0,1362,9023.726538
616.0,1341,9095.727995
440.0,1088,9159.905398
528.0,1229,9225.102773
660.0,1671,9315.680257
996.0,2289,9445.115697
352.0,1144,9507.77231
708.0,1559,9593.590052
756.0,1683,9687.001429
948.0,1790,9791.744615
948.0,2052,9904.509405
1236.0,2392,10041.655981
852.0,1738,10135.639
1140.0,2078,10247.23745
528.0,1149,10310.214429
616.0,1194,10380.199652
756.0,1323,10449.68898
660.0,1873,10550.598765
996.0,2185,10675.496986
396.0,1172,10744.715832
948.0,1754,10837.226464
660.0,1927,10945.117367
1796.0,3622,11141.445746
708.0,1647,11235.401411
708.0,1519,11336.507663
660.0,1618,11426.485418
948.0,1486,11502.694421
484.0,1309,11572.567146
996.0,1548,11654.671531
660.0,1819,11750.24352
528.0,1183,11819.893566
396.0,840,11863.123619
572.0,1254,11933.734853
660.0,1398,12009.906403
804.0,2081,12121.028368
660.0,1552,12203.925177
1188.0,2483,12335.737029
1092.0,1528,12418.878277
1188.0,1772,12516.407585
308.0,965,12566.026043
660.0,1277,12634.806569
660.0,1498,12718.018128
484.0,1098,12772.911296
660.0,1098,12840.741734
572.0,1278,12909.537009
996.0,1659,13002.632839
1236.0,2065,13114.184355
572.0,994,13170.647449
660.0,1711,13260.127496
660.0,1635,13348.099194
396.0,847,13389.898806
616.0,1258,13459.121224
852.0,1384,13534.265035
948.0,1613,13616.623732
616.0,1894,13719.778836
1140.0,1872,13821.881274
852.0,1306,13890.107078
948.0,1426,13964.41433
616.0,1183,14028.011317
804.0,1663,14118.184173
616.0,1304,14187.562484
660.0,1548,14271.795115
440.0,863,14319.433616
528.0,1279,14388.405405
948.0,1712,14476.897117
1044.0,2137,14590.58227
660.0,1139,14646.420784
804.0,1607,14733.003519
1484.0,2726,14877.40398
708.0,1318,14949.054799
996.0,2090,15065.575932
900.0,1629,15149.058854
1284.0,2172,15266.468848
900.0,1957,15371.325243
660.0,1542,15452.311153
900.0,1840,15554.015047
1284.0,1972,15661.373055
660.0,1697,15751.338206
396.0,964,15804.009968
756.0,2064,15909.641129
900.0,1503,15985.037885
1744.0,2648,16124.385445
572.0,1399,16198.670007
852.0,1993,16300.361713
660.0,1753,16393.542379
572.0,1185,16455.420531
948.0,1685,16542.897133
660.0,1168,16604.811516
1188.0,1994,16712.517174
660.0,1179,16773.001743
1188.0,1478,16854.990717
852.0,1318,16924.540477
660.0,1203,16985.804214
900.0,1430,17059.479814
1380.0,2058,17168.041463
1044.0,1483,17248.368201
996.0,1494,17323.824169
1332.0,1910,17432.46552
1044.0,1797,17526.028001
1284.0,1827,17620.377497
1380.0,1964,17726.70121
756.0,1319,17793.43078
1044.0,1903,17895.490738
308.0,831,17937.42544
396.0,965,17991.575923
1380.0,1868,18093.51735
1140.0,1710,18185.68327
616.0,1253,18246.993635
852.0,1216,18315.871149
852.0,1431,18389.92675
756.0,1359,18459.659005
852.0,1408,18534.654999
1332.0,1823,18629.252922
660.0,1272,18697.708927
948.0,2090,18811.361858
1092.0,1754,18899.436355
660.0,1225,18966.728105
1380.0,2211,19082.205445
1744.0,2382,19207.469882
572.0,1219,19275.287761
1332.0,2297,19405.779834
1092.0,1673,19496.523143
756.0,1787,19592.273931
1188.0,1866,19689.621356
1236.0,1650,19780.009244
1140.0,2061,19890.339185
1044.0,1850,19991.543295
1380.0,1742,20083.213982
1332.0,2220,20199.146924
660.0,1525,20280.695959
1236.0,1663,20380.66974
660.0,1316,20449.380458
1380.0,2228,20567.969207
660.0,1373,20637.210456
996.0,1547,20717.579178
1380.0,2282,20837.174507
756.0,1540,20917.043155
1236.0,1682,21011.360152
2160.0,2907,21166.877248
2552.0,3481,21347.705877
996.0,1505,21426.421432
1484.0,2225,21560.349289
1380.0,2182,21674.090828
996.0,1569,21753.751099
996.0,1618,21844.048745
1140.0,1774,21940.662314
1380.0,2142,22046.99795
1188.0,1719,22139.881385
1140.0,1858,22234.599854
2108.0,2716,22374.284005
804.0,1397,22448.639545
1380.0,2354,22582.988333
1432.0,2291,22711.848528
660.0,1164,22770.946952
900.0,1516,22850.108231
1092.0,1959,22952.649837
996.0,1752,23045.552021
1044.0,1817,23145.382407
852.0,1669,23247.655844
948.0,1468,23339.494044
948.0,1635,23442.785059
1044.0,1633,23546.919298
660.0,1183,23619.155306
996.0,1792,23735.854433
1284.0,1791,23852.581763
1044.0,1932,23974.67009
1332.0,2363,24124.758705
708.0,1207,24204.990136
1188.0,1734,24316.843383
996.0,1319,24397.769461
1044.0,1657,24505.981637
1092.0,1481,24604.066952
1380.0,2257,24746.357958
996.0,1459,24844.054759
1796.0,2038,24967.76214
852.0,1566,25058.992288
1092.0,2058,25187.090637
2384.0,3192,25380.676225
1332.0,2481,25523.580848
1284.0,1963,25632.110262
996.0,1755,25735.191923
660.0,1280,25812.282472
1332.0,2006,25923.879853
1332.0,1685,26018.986958
528.0,1125,26085.59362
1900.0,2443,26225.94192
948.0,1298,26298.918133
1140.0,1474,26385.489397
1140.0,1994,26496.864923
1332.0,2246,26628.143647
1796.0,2590,26780.816162
900.0,1621,26874.958758
1092.0,1555,26962.920611
1380.0,2132,27081.534653
660.0,1521,27169.115957
660.0,1210,27234.736007
2160.0,2839,27402.714772
1536.0,2096,27520.318394
708.0,1591,27609.119829
852.0,1464,27697.516948
1900.0,2462,27839.774016
660.0,1155,27906.546723
440.0,907,27958.042377
1332.0,1652,28053.71447
1236.0,2078,28170.928007
1380.0,2260,28297.633778
1188.0,1577,28392.62599
1236.0,1661,28489.119461
1188.0,1777,28585.393667
572.0,1161,28653.210905
3420.0,3303,28852.048926
2056.0,2407,28995.783642
528.0,913,29049.617394
852.0,1301,29124.92082
1140.0,1722,29225.830611
900.0,1322,29312.25332
3140.0,3363,29514.765922
948.0,1429,29598.437829
2160.0,3377,29797.342124
1092.0,1677,29895.004157
2160.0,2533,30043.989565
948.0,1507,30134.231681
1332.0,2284,30268.176133
948.0,1419,30349.925766
1380.0,1997,30462.093715
900.0,1416,30543.924438
1332.0,1661,30642.128083
1380.0,2084,30763.211329
1952.0,2313,30894.970373
852.0,1884,31006.755978
616.0,1304,31079.939668
1284.0,1744,31183.820098
948.0,1596,31275.442751
1432.0,2068,31392.25426
2160.0,2570,31539.270195
1284.0,1471,31623.125504
484.0,897,31681.046901
1188.0,2128,31808.774526
1536.0,1955,31924.511159
660.0,1567,32018.386549
1284.0,2137,32143.355292
852.0,1360,32225.674295
1140.0,1575,32318.718958
1236.0,2045,32437.464649
2056.0,2982,32611.812672
1092.0,1540,32702.229767
616.0,1138,32769.472444
1380.0,1843,32876.969805
900.0,1416,32958.598573
528.0,992,33017.620214
2108.0,2716,33176.002612
900.0,1439,33258.602094
1092.0,1705,33355.849936
1380.0,1880,33466.099898
1332.0,1689,33564.694733
1236.0,1736,33668.29329
2160.0,2687,33826.161151
1952.0,2741,33984.002743
1188.0,1667,34081.048106
1380.0,2243,34210.558698
1284.0,1600,34306.134239
1380.0,1983,34420.228069
948.0,1478,34509.906988
1332.0,2046,34629.042712
996.0,1311,34705.061777
996.0,1411,34791.864371
2972.0,3018,34964.474253
900.0,1286,35039.983706
660.0,1266,35114.674117
1236.0,1739,35219.32768
1484.0,2334,35356.080446
2160.0,2546,35508.095732
852.0,1477,35591.702244
996.0,1281,35666.212578
1380.0,1807,35775.11279
1380.0,1861,35888.777614
660.0,1281,35966.343023
1332.0,1660,36073.34546
900.0,1500,36161.548481
948.0,1483,36250.903889
996.0,1491,36332.98634
1284.0,1783,36438.359953
2004.0,2653,36594.777306
1188.0,1611,36686.534691
1380.0,2169,36816.672754
1236.0,1920,36928.290207
1380.0,1969,37042.5526
1284.0,1712,37146.612101
1380.0,1955,37257.736136
1640.0,2203,37386.046097
1332.0,1792,37490.903131
900.0,1247,37574.110063
1380.0,2031,37688.255367
