# {"t_start": 1601364204.6002448, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
352.0,1677,95.336314
352.0,1297,166.673398
396.0,1069,225.791412
660.0,1800,331.062059
804.0,1970,443.616953
616.0,1424,521.657351
352.0,1100,587.284932
308.0,1046,643.775067
616.0,1736,736.75316
352.0,1029,792.547844
440.0,1188,861.816242
440.0,1295,936.049417
660.0,1725,1029.410862
484.0,1074,1087.234108
308.0,995,1145.437865
396.0,1333,1216.241152
660.0,2025,1337.78565
660.0,1628,1429.667735
852.0,2007,1544.073224
484.0,1175,1614.161421
660.0,1745,1708.862707
572.0,1270,1779.799662
660.0,1485,1866.209074
572.0,1686,1959.119074
396.0,918,2010.95744
572.0,1577,2096.085428
804.0,2225,2215.605586
484.0,1455,2301.94909
484.0,1165,2364.566311
352.0,1278,2435.570763
804.0,1884,2534.675533
660.0,1610,2627.660567
440.0,1417,2705.847249
220.0,919,2755.780653
528.0,1197,2820.272668
352.0,1130,2884.365443
352.0,950,2934.000102
660.0,1645,3028.032767
948.0,1562,3113.778287
440.0,1043,3171.85666
440.0,1220,3242.221024
308.0,905,3292.832512
616.0,1499,3372.367049
660.0,1265,3446.73619
396.0,1380,3524.311039
396.0,1290,3594.455118
484.0,1203,3659.946947
352.0,973,3715.305728
756.0,1573,3799.438287
660.0,1495,3884.942306
440.0,1325,3957.503799
572.0,1350,4036.917769
440.0,1350,4112.336438
804.0,2066,4233.096275
660.0,2085,4347.995734
484.0,1625,4439.085356
660.0,1868,4540.629462
616.0,1540,4626.050769
616.0,1775,4728.778844
756.0,1533,4814.808872
852.0,2010,4930.958277
528.0,1736,5025.922839
616.0,1317,5097.587924
396.0,1645,5190.571658
440.0,1192,5262.318744
440.0,1289,5333.124475
264.0,1012,5383.653224
616.0,1470,5466.975039
660.0,2056,5580.915799
440.0,1413,5658.420513
396.0,1392,5737.078474
616.0,1945,5843.226868
660.0,1603,5932.301945
528.0,1424,6010.377806
264.0,969,6067.709233
1092.0,2363,6195.237384
528.0,1347,6273.110782
756.0,1712,6365.664047
900.0,1975,6475.080707
660.0,2039,6591.802145
572.0,1609,6684.51878
440.0,950,6735.440198
528.0,1272,6805.025776
308.0,905,6854.456323
528.0,1263,6925.424947
396.0,884,6975.089859
352.0,906,7024.007681
660.0,1936,7133.114131
1188.0,2625,7275.770779
396.0,1207,7339.702087
804.0,1700,7437.682865
396.0,1033,7495.244779
756.0,1696,7588.563903
660.0,1979,7695.640133
484.0,1444,7774.27227
572.0,1635,7868.140871
660.0,2069,7979.433797
660.0,1086,8043.040974
660.0,2172,8165.463777
708.0,1753,8257.552326
1588.0,3084,8430.829266
660.0,1389,8514.930058
484.0,1463,8593.052997
948.0,2103,8710.497265
528.0,1257,8782.087902
660.0,1442,8860.688727
660.0,1641,8952.872615
616.0,1680,9044.476002
660.0,1912,9146.234577
528.0,1287,9218.345586
440.0,1347,9294.155453
264.0,865,9343.377548
804.0,2113,9459.406214
440.0,1131,9522.20045
396.0,1164,9586.523523
1044.0,2319,9714.729933
756.0,1937,9826.991988
572.0,1722,9919.16158
1188.0,2969,10092.281418
484.0,1415,10169.657331
900.0,1485,10246.912344
804.0,1934,10352.740591
948.0,1738,10449.504252
660.0,1312,10521.077461
756.0,1953,10633.144876
396.0,938,10682.426954
616.0,1776,10781.076901
1188.0,2394,10916.204244
1044.0,2095,11028.383924
660.0,1038,11084.979517
660.0,1605,11178.626094
660.0,1281,11244.453428
852.0,1573,11350.315492
756.0,1442,11426.989185
660.0,1916,11529.827893
616.0,1313,11599.489818
572.0,1345,11668.479988
440.0,952,11721.877148
352.0,1492,11799.124074
572.0,1122,11863.197916
756.0,1301,11934.290732
528.0,1567,12017.792981
616.0,1780,12114.836633
996.0,1464,12196.727505
708.0,1207,12258.824209
1140.0,2051,12369.895944
572.0,1221,12433.20501
900.0,1610,12523.440331
572.0,1131,12585.94531
1044.0,1778,12682.524262
1140.0,2277,12799.847873
572.0,1059,12861.960963
484.0,1149,12924.227838
660.0,1263,12996.060118
900.0,1858,13099.652833
660.0,1278,13170.696621
660.0,1392,13239.945591
308.0,1299,13308.713741
1380.0,1779,13404.822388
484.0,1347,13479.426431
996.0,1874,13575.986291
1332.0,2547,13713.473381
484.0,1174,13775.487393
1380.0,2145,13890.599913
528.0,1161,13951.064665
660.0,1171,14014.256273
948.0,2099,14125.744987
1188.0,2034,14236.94521
660.0,1389,14313.177137
616.0,1220,14375.693354
900.0,1438,14455.70758
572.0,1389,14524.59035
852.0,1636,14612.789755
616.0,1387,14686.576863
396.0,1030,14739.748306
528.0,951,14788.288281
1188.0,1661,14877.633282
660.0,1271,14948.815154
900.0,1594,15032.09253
660.0,1524,15113.973739
852.0,1642,15203.400768
616.0,1140,15266.241048
1044.0,1661,15356.910093
1380.0,2577,15491.851784
616.0,1672,15583.164563
708.0,1395,15661.090748
948.0,1412,15737.116079
900.0,1544,15817.700635
1332.0,2206,15929.815291
900.0,1456,16005.715402
804.0,1524,16084.930279
1236.0,1791,16178.007705
660.0,1634,16266.32643
396.0,986,16313.42893
1140.0,1595,16400.006869
572.0,1051,16455.031462
1284.0,1800,16549.304411
852.0,1468,16624.547841
804.0,1735,16719.293837
484.0,1286,16786.589606
484.0,1066,16841.683122
804.0,1216,16904.555073
1188.0,1554,16991.958878
804.0,1335,17059.153892
756.0,1314,17127.575845
660.0,1299,17196.053729
852.0,1937,17296.549556
660.0,1195,17362.55501
660.0,1457,17445.258994
756.0,1698,17532.718902
1380.0,1951,17633.540338
660.0,1310,17701.122033
756.0,1500,17780.180489
1380.0,2227,17896.338345
660.0,1492,17978.273794
804.0,1657,18072.592965
1236.0,1700,18159.837902
948.0,1367,18232.533517
852.0,1441,18309.554521
1332.0,2414,18438.131627
1236.0,1975,18541.217875
660.0,1308,18608.602758
900.0,1575,18690.544314
1588.0,2485,18825.460344
660.0,1251,18891.711156
1044.0,2448,19021.151156
1236.0,2423,19144.92588
1332.0,2011,19255.046748
1188.0,2219,19374.243997
660.0,1368,19455.521371
1796.0,2333,19578.809272
1188.0,2124,19696.073283
1380.0,1797,19793.09044
1188.0,1962,19896.977605
616.0,1150,19958.708591
1380.0,2025,20069.019638
660.0,1007,20117.411596
948.0,1926,20219.850814
1284.0,1765,20317.357049
852.0,1484,20407.572935
1484.0,1793,20501.831166
1380.0,2665,20637.3457
1432.0,2056,20744.388083
852.0,1904,20843.966289
308.0,1133,20903.47766
484.0,1126,20970.57555
660.0,1160,21031.666627
660.0,1202,21092.522402
1092.0,2021,21199.808922
1380.0,2308,21320.70761
1380.0,2131,21427.252663
1140.0,1585,21526.52418
1236.0,2309,21653.977861
1044.0,1522,21727.844223
660.0,1137,21787.640875
1284.0,1989,21901.989698
1092.0,2123,22007.484016
1900.0,3022,22167.035756
660.0,1376,22235.253661
900.0,1491,22314.830469
660.0,1312,22381.138569
1380.0,2128,22498.624219
440.0,1006,22561.878997
660.0,1188,22631.040313
852.0,1317,22698.496343
