# {"t_start": 1601364204.740532, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
220.0,873,45.920408
264.0,1242,116.589339
88.0,1020,173.973148
396.0,803,218.093567
616.0,1708,316.799368
352.0,938,377.281518
440.0,1604,464.557449
572.0,1292,537.129222
616.0,1216,602.025743
440.0,1141,665.342005
1188.0,2553,806.371613
804.0,1891,912.990128
660.0,1602,1001.274151
660.0,1636,1093.84278
440.0,1343,1166.682825
484.0,1305,1243.674144
528.0,1197,1316.516158
484.0,1494,1400.975429
528.0,1091,1464.571229
660.0,1660,1557.075465
352.0,996,1614.046181
572.0,1672,1707.979447
660.0,2331,1837.123955
484.0,1012,1894.383775
396.0,1189,1959.162649
308.0,808,2004.185025
308.0,865,2053.160038
308.0,1008,2109.324477
528.0,1285,2178.670058
484.0,1083,2238.280989
572.0,1187,2302.400032
352.0,1043,2358.197252
660.0,1546,2443.129174
396.0,1187,2506.998064
528.0,1195,2577.220535
616.0,1559,2663.094717
660.0,1594,2748.902339
440.0,1217,2819.530703
308.0,931,2869.69571
484.0,1293,2940.24639
484.0,1361,3018.342914
484.0,1112,3077.560064
572.0,1723,3178.126915
900.0,2208,3299.502764
708.0,1848,3402.315198
528.0,1123,3467.686821
440.0,1213,3531.33474
572.0,1495,3615.04158
572.0,1237,3681.045352
484.0,1534,3763.990333
572.0,1009,3821.396233
660.0,2041,3935.627157
484.0,1568,4023.432957
440.0,1135,4091.145647
948.0,2411,4232.623384
352.0,1269,4305.196104
484.0,1114,4362.095684
308.0,916,4411.645817
804.0,2078,4532.268927
756.0,1311,4603.904495
572.0,1373,4677.581315
396.0,1081,4742.192162
396.0,1198,4807.212917
308.0,912,4858.684799
484.0,1094,4923.461426
572.0,1377,4997.587128
352.0,1062,5060.094335
572.0,1274,5125.94688
484.0,1242,5197.380969
352.0,904,5248.357659
572.0,1666,5341.029598
852.0,1726,5432.232585
440.0,1081,5495.546123
804.0,1994,5602.827531
572.0,1047,5659.117609
396.0,1320,5737.081059
528.0,1611,5822.57746
528.0,1139,5887.597507
484.0,1600,5974.339375
996.0,2781,6132.300307
572.0,1229,6201.380399
440.0,1253,6266.761431
660.0,1998,6379.872435
660.0,2102,6496.639461
660.0,1491,6584.102746
616.0,2035,6698.78393
484.0,1324,6770.309899
484.0,1291,6840.450947
616.0,1271,6911.109258
804.0,1968,7017.681811
660.0,1384,7098.191647
572.0,1786,7197.333592
708.0,1920,7303.626858
660.0,2091,7416.503379
572.0,1173,7481.732473
484.0,1504,7567.419367
220.0,901,7617.599303
660.0,1280,7687.960203
1188.0,1834,7787.796374
660.0,1699,7882.280335
616.0,1281,7951.995275
528.0,1329,8028.631214
660.0,1518,8106.781211
660.0,1616,8200.4926
756.0,2261,8321.569211
660.0,1672,8416.67893
660.0,1430,8506.735656
660.0,1964,8613.008912
572.0,1304,8682.832036
804.0,1609,8773.438095
660.0,1607,8860.829754
756.0,1556,8946.269507
900.0,1865,9051.267254
660.0,1275,9123.140517
852.0,1907,9225.124603
528.0,1273,9294.405336
220.0,827,9343.237735
528.0,1314,9415.693446
1044.0,2497,9551.382822
616.0,1342,9628.951289
660.0,1590,9714.722514
660.0,1972,9827.278495
396.0,1455,9911.123626
528.0,1337,9981.992036
660.0,1428,10064.748434
616.0,1509,10149.195841
804.0,2031,10260.432637
396.0,899,10309.342295
396.0,1149,10373.274389
1140.0,2187,10492.203545
1044.0,2172,10611.167355
756.0,1428,10695.375563
616.0,1233,10759.678842
660.0,1538,10844.328485
708.0,1309,10916.766949
1140.0,2540,11056.397044
528.0,1083,11113.07556
528.0,1968,11227.813689
996.0,2256,11364.890623
572.0,1319,11440.343732
900.0,1498,11516.54
852.0,1506,11599.179783
708.0,1581,11681.649698
1044.0,2589,11820.763028
660.0,1306,11891.664345
440.0,1161,11954.974158
804.0,1918,12060.572866
660.0,1568,12147.671647
528.0,1256,12211.207356
660.0,1126,12272.412494
352.0,942,12321.351864
1044.0,1668,12412.206672
660.0,1603,12502.32762
660.0,1807,12599.810683
660.0,1346,12668.890068
804.0,2181,12786.105224
616.0,1447,12868.750296
616.0,1628,12959.055448
852.0,1421,13037.313733
616.0,1143,13099.985187
900.0,1334,13171.550617
852.0,1442,13253.038851
220.0,815,13294.29984
804.0,1662,13382.357347
660.0,1394,13458.727407
528.0,1271,13527.000124
572.0,1229,13589.145544
572.0,1087,13649.658898
756.0,1365,13719.914151
660.0,1412,13795.618598
660.0,1286,13863.627155
352.0,821,13904.342458
660.0,1569,13992.209597
528.0,1467,14070.660506
660.0,2140,14187.153123
660.0,1524,14271.155199
660.0,1562,14353.874988
396.0,976,14402.418618
852.0,1985,14510.140429
804.0,1815,14605.088436
572.0,1389,14679.10041
1236.0,2307,14800.748129
756.0,1306,14869.755368
616.0,1218,14934.833837
852.0,1355,15009.839344
660.0,1337,15079.382715
660.0,1238,15148.175699
852.0,1648,15231.883363
1332.0,2651,15377.687948
660.0,1420,15451.867345
1236.0,1983,15560.359016
440.0,1153,15619.027361
1640.0,2953,15778.157291
852.0,1684,15870.139064
1332.0,1708,15956.97217
948.0,1741,16045.440318
572.0,1097,16104.272963
900.0,1533,16184.641601
1236.0,1777,16279.472382
396.0,1091,16332.722562
708.0,1693,16421.284845
708.0,1215,16488.890224
708.0,1259,16549.844539
660.0,1389,16624.299389
948.0,1721,16718.922102
1380.0,1850,16813.610841
1536.0,2443,16945.470579
660.0,1283,17012.721196
708.0,1307,17079.802236
220.0,880,17127.186699
1188.0,1448,17202.560535
660.0,1303,17269.146825
756.0,1416,17343.438895
756.0,1401,17425.543015
996.0,1500,17505.293805
852.0,1626,17587.203835
1092.0,1665,17673.974363
948.0,1958,17779.555584
1284.0,2174,17895.170276
660.0,1388,17964.79409
1188.0,1977,18079.060303
616.0,1144,18139.147551
900.0,1194,18199.314984
1284.0,2741,18343.61358
1236.0,1875,18444.881438
1484.0,2193,18561.088345
1284.0,1753,18648.993009
660.0,1821,18750.684832
1380.0,1960,18852.1272
1484.0,2482,18980.755302
1900.0,2583,19117.152153
2636.0,2740,19268.127922
900.0,1334,19336.438035
1236.0,2012,19455.029628
1692.0,2915,19607.008613
1380.0,1887,19710.421226
1188.0,1747,19806.538755
948.0,1746,19897.254909
1332.0,2310,20020.40252
948.0,1931,20123.827429
1796.0,2798,20273.648196
1332.0,2111,20400.515176
616.0,1489,20475.627486
1092.0,2114,20588.083821
1332.0,1886,20684.150876
616.0,1379,20756.759214
948.0,1767,20849.894118
852.0,1349,20917.033464
1092.0,1528,21004.183719
660.0,1389,21078.836892
1140.0,1683,21166.903144
660.0,1651,21253.724227
1432.0,1960,21354.385832
1284.0,1960,21453.580864
1044.0,1591,21559.746039
948.0,1995,21660.947974
1140.0,1560,21740.573291
660.0,1215,21807.545537
900.0,1484,21889.205323
1236.0,2157,22000.447258
852.0,1336,22067.500552
1380.0,1880,22167.106212
2552.0,3033,22327.432429
1380.0,2361,22448.525362
3000.0,3415,22650.995307
616.0,1269,22712.142323
804.0,1332,22783.601032
1380.0,1933,22883.583653
1092.0,1473,22959.392251
660.0,1590,23045.234545
996.0,2161,23161.30514
660.0,1279,23240.386814
900.0,1474,23338.62751
1332.0,1793,23450.064233
1332.0,1955,23571.057261
660.0,1129,23646.336098
2216.0,2801,23826.190142
1332.0,2072,23958.34987
1044.0,1461,24050.765308
708.0,1455,24140.635134
1432.0,2696,24317.248663
396.0,857,24373.283439
900.0,1534,24472.757834
1380.0,1923,24596.061678
660.0,1134,24669.302802
1044.0,1792,24786.379681
1044.0,1899,24904.19856
616.0,1293,24976.322424
948.0,1306,25058.742241
1588.0,2485,25210.17054
1332.0,2211,25342.518374
996.0,1530,25436.270136
3000.0,4023,25662.287052
1848.0,2604,25819.501816
1140.0,1467,25900.707149
1796.0,2506,26046.771519
1900.0,2551,26190.103032
1092.0,1639,26284.000025
1188.0,1664,26378.695981
1796.0,1900,26488.844743
1900.0,2721,26643.188898
1380.0,2285,26780.739815
1380.0,2251,26905.361775
660.0,1102,26970.8542
660.0,1097,27030.963009
1952.0,2292,27162.190863
1380.0,2044,27278.531362
1380.0,2291,27410.86839
2160.0,2890,27579.137719
660.0,1123,27638.716292
1044.0,1661,27735.181348
2004.0,2248,27869.186118
1284.0,1931,27979.932517
900.0,1502,28061.721333
660.0,1149,28127.239897
1432.0,2200,28252.762413
1332.0,2134,28378.385066
1188.0,1780,28482.025658
948.0,1764,28584.435441
660.0,1059,28644.705069
996.0,1629,28737.092055
996.0,1505,28829.796281
1744.0,2892,29002.993476
660.0,1172,29072.159963
1140.0,1588,29163.24768
1188.0,1823,29275.212381
948.0,1691,29376.919999
1380.0,2471,29529.959208
660.0,1278,29605.656756
1092.0,1570,29698.66364
2004.0,2266,29829.252003
2160.0,2951,30000.415681
1536.0,2149,30126.348383
1380.0,1932,30239.862288
572.0,1101,30306.237979
2328.0,2937,30476.184166
1236.0,2109,30596.952204
1900.0,2458,30738.471171
1380.0,1887,30849.868212
948.0,1700,30946.088637
1236.0,1619,31042.527448
1380.0,1999,31153.772532
1284.0,1506,31244.846561
1332.0,1766,31347.649115
852.0,1327,31421.292337
1380.0,1709,31516.885863
1092.0,1561,31607.889524
900.0,1201,31687.681956
1380.0,1933,31801.001664
1588.0,2302,31942.25743
2108.0,3061,32120.488862
1236.0,1546,32210.808463
1380.0,1751,32311.620923
1380.0,1959,32422.806812
1236.0,2094,32551.629228
1640.0,2625,32702.499432
1284.0,1872,32815.55629
