# {"t_start": 1601364204.6841083, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
528.0,1815,102.204444
132.0,1105,160.0062
352.0,987,217.852217
396.0,1459,301.92242
660.0,1941,415.135416
484.0,1403,493.019927
572.0,1302,565.879217
484.0,1237,636.759034
528.0,1302,707.203536
396.0,1416,785.027379
948.0,1832,884.607275
616.0,1674,979.643786
572.0,1242,1050.798814
528.0,1210,1116.139813
440.0,1175,1180.766553
308.0,1189,1252.281602
220.0,1009,1310.135411
616.0,1569,1401.161698
440.0,1422,1486.99607
308.0,1172,1550.060933
708.0,1938,1657.81203
616.0,1658,1751.103593
660.0,1575,1837.487698
756.0,1945,1945.521582
900.0,2199,2068.082333
352.0,1006,2123.679105
528.0,1319,2193.913307
660.0,1481,2280.426838
660.0,1811,2378.770995
660.0,1891,2484.462854
528.0,1291,2555.180785
528.0,1470,2634.881636
660.0,1752,2733.808081
708.0,2009,2841.766479
528.0,1113,2905.182658
308.0,959,2954.692636
616.0,1411,3035.255167
528.0,1753,3135.215014
660.0,1526,3220.632102
616.0,1755,3314.864788
440.0,964,3371.55303
396.0,909,3425.086029
528.0,1288,3496.197162
572.0,1250,3565.931318
352.0,917,3614.947456
352.0,1150,3680.1509
660.0,1495,3756.940419
660.0,1602,3849.534809
1044.0,2304,3980.254104
660.0,1625,4068.480083
440.0,1436,4153.883326
572.0,1655,4248.154557
660.0,1738,4347.320696
484.0,1334,4418.44187
396.0,1021,4475.228091
948.0,2157,4596.702185
528.0,1252,4669.600813
616.0,1364,4742.765306
572.0,1183,4807.652523
660.0,1711,4909.247227
396.0,1138,4974.770591
308.0,1044,5031.834252
396.0,971,5082.782906
396.0,1217,5153.601355
616.0,1875,5255.860079
396.0,1238,5326.05791
440.0,1200,5390.170747
948.0,1895,5495.573338
900.0,2008,5602.985556
484.0,1259,5672.910905
484.0,1187,5737.968619
996.0,2224,5864.891839
484.0,1349,5939.20034
264.0,958,5995.217792
804.0,2361,6125.110966
804.0,1735,6216.6951
572.0,1033,6274.101038
396.0,1176,6344.197952
852.0,2105,6459.001081
484.0,1466,6540.465187
900.0,1985,6655.84963
528.0,1241,6721.399629
484.0,1253,6791.296142
440.0,1480,6875.078694
484.0,1439,6954.084144
660.0,1704,7045.53238
948.0,2209,7169.050787
528.0,1306,7240.617327
528.0,1204,7310.725093
616.0,1299,7380.974
484.0,1269,7451.77301
660.0,1817,7553.539944
660.0,2099,7667.081539
572.0,1550,7751.851223
852.0,2393,7888.922563
1092.0,2719,8036.309138
948.0,2470,8172.873882
660.0,2003,8285.171329
996.0,1884,8386.838392
616.0,1321,8469.493092
756.0,2219,8592.408431
660.0,2027,8703.45253
660.0,1694,8796.997903
616.0,1696,8889.305648
756.0,1822,8989.608372
660.0,1606,9080.323014
396.0,1151,9145.184979
756.0,1849,9245.693895
484.0,1163,9308.462955
948.0,2397,9444.690647
660.0,1953,9551.099542
572.0,1497,9636.271505
440.0,1108,9694.056613
900.0,2032,9812.981477
352.0,1299,9883.299171
756.0,2069,9996.535485
660.0,1662,10092.910927
352.0,1165,10156.562124
660.0,1158,10218.906812
756.0,1609,10309.462715
948.0,2120,10422.390123
528.0,1450,10500.487757
1044.0,2334,10639.508501
616.0,1747,10731.223511
484.0,1039,10788.380378
660.0,1742,10887.065978
756.0,1987,10994.632209
528.0,1238,11063.291388
528.0,1080,11119.94254
756.0,1480,11206.718673
440.0,1570,11303.612807
1044.0,2418,11440.714182
660.0,1671,11529.645842
660.0,1494,11606.770379
948.0,2033,11715.410659
528.0,1388,11791.299261
528.0,1234,11856.463837
756.0,1611,11947.545819
660.0,1279,12017.196714
660.0,1388,12093.758698
852.0,1755,12183.640753
660.0,1700,12278.89376
948.0,1547,12362.657927
440.0,1032,12418.264779
484.0,1341,12488.632697
1284.0,1902,12592.96571
484.0,1186,12655.160311
440.0,1055,12711.320699
804.0,1440,12786.366332
660.0,1670,12882.155136
1044.0,1562,12973.530786
996.0,1456,13050.65131
1284.0,1792,13149.420574
572.0,1332,13219.151115
660.0,1437,13294.825142
660.0,1547,13376.067399
352.0,921,13426.298162
660.0,1413,13500.281067
616.0,1454,13581.839386
708.0,1471,13657.22715
660.0,1699,13747.677922
528.0,1443,13828.888809
900.0,1756,13917.553298
352.0,1220,13985.04384
264.0,861,14028.558367
900.0,1630,14118.419068
616.0,1159,14180.654285
852.0,1537,14264.709082
1332.0,1797,14361.015771
660.0,1206,14422.681679
308.0,811,14469.567711
660.0,2041,14571.603205
660.0,1083,14632.560025
660.0,1356,14700.186609
1140.0,2216,14821.309004
804.0,1404,14898.284708
440.0,908,14948.104816
528.0,1156,15009.770458
804.0,1641,15093.278798
528.0,1287,15162.609475
852.0,1540,15245.766842
804.0,1322,15321.202017
1092.0,1826,15417.519177
1140.0,2110,15526.484488
948.0,2008,15639.39197
572.0,1264,15709.777219
660.0,1170,15770.612419
708.0,1630,15851.172619
572.0,1185,15916.013179
1236.0,1861,16012.359207
996.0,2500,16138.191472
948.0,1470,16219.158228
1140.0,2137,16332.165395
660.0,1197,16393.233777
660.0,1545,16475.623677
660.0,1795,16569.949263
660.0,1159,16630.446065
660.0,1541,16712.258204
852.0,1357,16780.188487
1380.0,2283,16903.995185
660.0,1356,16978.665909
1188.0,2524,17107.371756
484.0,983,17160.998477
660.0,1198,17222.415355
852.0,1548,17303.13011
1380.0,1958,17412.515109
1140.0,1829,17511.72023
660.0,1241,17573.488134
484.0,984,17626.401867
804.0,1506,17706.82293
1380.0,1960,17806.357106
1140.0,1791,17902.437733
660.0,1215,17964.669454
