# {"t_start": 1601364204.7541356, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
396.0,1451,81.157322
132.0,937,130.892943
660.0,1622,225.274126
756.0,1410,308.616708
616.0,1624,400.555682
352.0,1038,457.72975
308.0,1028,514.112244
804.0,1770,615.669804
352.0,908,664.972207
660.0,1803,764.108827
440.0,1018,820.203771
660.0,1740,913.713615
660.0,1240,986.490609
484.0,1266,1057.96678
352.0,1158,1123.061595
484.0,1107,1180.856643
308.0,1090,1244.045434
264.0,1400,1330.212892
440.0,953,1380.481197
352.0,990,1438.144209
660.0,2062,1557.116357
1044.0,2396,1693.458118
572.0,1188,1758.27543
616.0,1171,1822.788834
484.0,1117,1886.908287
660.0,1649,1974.279495
352.0,1034,2032.69728
572.0,1255,2103.029312
440.0,1230,2171.895767
572.0,1389,2246.183059
396.0,857,2294.934229
660.0,2065,2407.01104
484.0,1151,2470.761194
528.0,1399,2548.17596
852.0,1568,2634.974763
948.0,1986,2748.063512
484.0,1102,2805.649781
528.0,1182,2870.1277
484.0,1413,2947.49176
616.0,1558,3035.305849
528.0,1701,3134.752398
572.0,1240,3200.335518
616.0,1932,3307.306501
660.0,1650,3402.302425
528.0,1272,3475.250838
660.0,1386,3551.661664
352.0,965,3601.486239
132.0,921,3652.582384
660.0,1494,3735.782203
660.0,1361,3813.197438
996.0,2306,3936.196004
352.0,1070,4001.837518
948.0,2225,4128.531924
572.0,1455,4211.28442
528.0,1283,4285.068067
660.0,2149,4404.098617
528.0,1303,4475.30003
396.0,1085,4539.497674
528.0,1239,4604.530705
660.0,1425,4684.530637
528.0,1282,4756.981097
352.0,1049,4815.004981
352.0,1009,4873.393315
352.0,1269,4946.274628
484.0,1243,5018.092194
996.0,2312,5146.320788
308.0,959,5197.411146
396.0,991,5255.336804
572.0,1358,5326.691076
484.0,1286,5397.192574
528.0,1451,5480.781435
660.0,1389,5553.083969
756.0,2422,5688.629135
528.0,1647,5779.114113
660.0,1681,5872.658923
572.0,1569,5960.221599
308.0,1256,6031.654939
528.0,1183,6096.77972
660.0,1567,6181.544187
440.0,1170,6245.364333
660.0,2018,6358.786071
572.0,1214,6429.276232
660.0,2158,6547.547096
660.0,2034,6663.452836
572.0,1204,6734.714803
660.0,1609,6819.136592
396.0,1070,6875.838002
900.0,1699,6974.962189
396.0,1301,7044.988699
264.0,989,7098.591879
440.0,1039,7154.813374
352.0,807,7204.283233
660.0,2172,7324.511707
996.0,2379,7452.158614
484.0,1398,7532.329594
572.0,1239,7602.636258
660.0,1812,7701.784647
616.0,1310,7773.300757
660.0,1242,7839.875686
660.0,1614,7930.937202
616.0,1316,8000.956774
900.0,2297,8129.707795
572.0,1320,8201.061787
900.0,1631,8292.486056
1044.0,1762,8393.016267
660.0,2022,8507.833745
616.0,1131,8571.864087
396.0,1205,8640.736718
708.0,2226,8759.96368
440.0,1138,8825.037384
708.0,2376,8953.642081
1044.0,2224,9079.972885
616.0,1672,9174.654616
948.0,2048,9280.679194
660.0,1819,9386.211144
616.0,1525,9466.761407
308.0,1050,9529.085283
484.0,1692,9621.758224
264.0,803,9665.574673
572.0,1793,9766.734605
948.0,2355,9897.542845
948.0,2178,10017.499151
1380.0,2938,10184.343017
804.0,1901,10288.925064
660.0,1880,10394.060377
1236.0,1961,10499.570389
660.0,1476,10578.985627
900.0,1988,10695.573659
440.0,1387,10767.12574
396.0,1072,10829.449683
660.0,2104,10945.102832
708.0,1429,11021.469785
1188.0,1849,11126.347909
396.0,983,11179.346181
572.0,1403,11261.052489
948.0,2045,11385.661406
660.0,1218,11454.17494
660.0,1108,11509.520915
660.0,1719,11605.724312
616.0,1766,11695.254407
708.0,1849,11797.971097
1140.0,1840,11898.201094
572.0,1204,11961.710997
616.0,1525,12046.780039
804.0,1938,12148.472815
660.0,1240,12217.520877
660.0,1693,12306.700037
1092.0,2321,12432.617179
804.0,2091,12545.280729
660.0,1228,12613.70239
484.0,1239,12676.284734
616.0,1711,12772.063747
484.0,1378,12848.089546
1092.0,2169,12966.367323
852.0,2091,13084.465068
1140.0,2037,13198.378629
660.0,1529,13274.271541
852.0,2158,13389.881154
528.0,1250,13458.9952
1140.0,1517,13541.036162
948.0,1964,13643.193407
440.0,1124,13705.496645
616.0,1131,13761.668342
308.0,984,13815.76897
900.0,1781,13910.430624
660.0,1425,13985.330427
352.0,857,14034.608902
1140.0,1692,14124.879226
1332.0,2394,14251.129416
708.0,1554,14340.102808
660.0,1071,14395.264473
804.0,1934,14497.025722
528.0,1379,14570.521421
756.0,1550,14652.255697
396.0,1185,14712.7765
900.0,1670,14801.073076
1284.0,2005,14906.343737
1188.0,1945,15016.692045
996.0,1580,15099.282308
1284.0,2216,15217.379154
1092.0,1447,15294.687499
852.0,1610,15384.142595
616.0,1160,15444.645954
1236.0,2165,15560.544253
1188.0,1715,15654.234853
804.0,1313,15724.240913
1092.0,2336,15844.654668
1140.0,1829,15943.135462
660.0,1213,16005.337259
396.0,1024,16058.249058
660.0,1542,16137.534304
660.0,1502,16218.791777
1236.0,2091,16325.934484
1380.0,2002,16428.442766
660.0,1517,16509.127884
660.0,1419,16584.22306
1044.0,1924,16685.328839
1140.0,1658,16773.017938
660.0,1564,16855.812881
660.0,1109,16917.614021
660.0,1555,16998.984102
852.0,1232,17065.441354
660.0,1211,17127.243078
1332.0,1868,17222.76738
900.0,1252,17289.479146
528.0,1161,17349.990872
900.0,1288,17425.605382
528.0,1360,17498.594637
440.0,1183,17559.517878
440.0,1079,17613.595267
660.0,1631,17700.510934
572.0,1517,17779.725824
1332.0,1881,17875.835029
660.0,1323,17950.352052
1140.0,1879,18052.734175
660.0,1719,18146.037861
1140.0,1887,18240.185124
1188.0,1890,18343.401393
660.0,1194,18405.349632
660.0,1226,18472.745852
1092.0,1740,18561.660495
1380.0,2163,18676.315477
1332.0,2339,18798.431691
852.0,1868,18899.026034
852.0,1907,19000.951304
1188.0,2398,19124.214226
660.0,1373,19200.436612
1380.0,2195,19315.965475
900.0,1556,19406.263921
660.0,1236,19475.705348
1900.0,2795,19626.628485
572.0,1372,19696.721438
660.0,1435,19773.586806
660.0,1506,19855.290881
616.0,1130,19917.586138
1284.0,1986,20020.572848
1332.0,2022,20130.448133
1332.0,2660,20273.340158
996.0,1418,20359.343561
1092.0,2185,20475.367759
572.0,1187,20535.213845
1380.0,2221,20650.568545
996.0,1483,20730.297153
900.0,1306,20797.131217
396.0,872,20843.314741
1536.0,1996,20947.609463
660.0,1568,21038.071266
1588.0,2043,21140.038609
660.0,1189,21206.199403
1284.0,2238,21320.910742
948.0,1576,21400.690598
1092.0,1629,21493.023237
660.0,1428,21581.17094
1044.0,1922,21680.494413
1284.0,2392,21807.483564
660.0,1384,21882.899639
660.0,1009,21934.878538
1044.0,1594,22019.770804
1092.0,1869,22114.495121
852.0,1259,22180.346243
1380.0,1898,22280.845035
1900.0,3017,22435.482274
660.0,1594,22531.164025
1744.0,2004,22644.729865
440.0,1143,22704.849191
2004.0,2688,22843.393326
1140.0,1605,22925.360755
1092.0,1500,23005.089721
1380.0,1770,23099.698493
1236.0,1765,23207.987577
2108.0,3035,23394.606975
660.0,1202,23473.846211
1044.0,1631,23571.418092
660.0,1610,23678.04444
996.0,1561,23776.237921
948.0,1426,23869.010166
1380.0,1920,23990.540588
804.0,1340,24075.78346
2004.0,3140,24281.683692
1380.0,1915,24404.864494
660.0,1350,24489.796487
900.0,1763,24604.213628
308.0,933,24661.90449
1044.0,1969,24787.620853
1380.0,1768,24903.892812
1188.0,1576,24991.192962
948.0,1405,25075.100506
756.0,1444,25171.270074
660.0,1225,25243.601393
996.0,1330,25319.896685
660.0,1093,25388.713882
948.0,1406,25472.577698
900.0,1434,25552.733229
948.0,1711,25646.938608
1484.0,2171,25775.90335
756.0,1075,25835.45983
660.0,1467,25923.157473
1848.0,2132,26040.606277
1332.0,1557,26136.126694
1588.0,2187,26261.516814
3000.0,3221,26444.798988
1796.0,2439,26583.63848
